rx_role,recv_ms,run_id,tx_id,node_id,seq,tx_ms,region,event,priority,usefulness,stale_after,policy,rssi,snr,parse_ok,parse_error,wall_time_utc,serial_port,raw_line
RX,6799479,R30,TXA,N01,0,1627,A,1,0.75,0.72,5.0,F,-47.0,10.0,True,,2026-06-29T14:58:58.934+00:00,/dev/cu.usbserial-576B0005451,"RX,6799479,R30,TXA,N01,0,1627,A,1,0.75,0.72,5,F,-47,10.00"
RX,6799995,R30,TXB,N16,0,2142,A,1,0.75,0.72,5.0,U,-53.0,10.0,True,,2026-06-29T14:58:59.450+00:00,/dev/cu.usbserial-576B0005451,"RX,6799995,R30,TXB,N16,0,2142,A,1,0.75,0.72,5,U,-53,10.00"
RX,6800478,R30,TXA,N01,1,2627,B,0,0.2,0.18,5.0,F,-47.0,10.0,True,,2026-06-29T14:58:59.934+00:00,/dev/cu.usbserial-576B0005451,"RX,6800478,R30,TXA,N01,1,2627,B,0,0.20,0.18,5,F,-47,10.00"
RX,6801478,R30,TXA,N01,2,3627,C,1,0.81,0.78,5.0,F,-49.0,10.0,True,,2026-06-29T14:59:00.934+00:00,/dev/cu.usbserial-576B0005451,"RX,6801478,R30,TXA,N01,2,3627,C,1,0.81,0.78,5,F,-49,10.00"
RX,6801994,R30,TXB,N16,1,4142,C,1,0.81,0.78,5.0,U,-55.0,9.75,True,,2026-06-29T14:59:01.450+00:00,/dev/cu.usbserial-576B0005451,"RX,6801994,R30,TXB,N16,1,4142,C,1,0.81,0.78,5,U,-55,9.75"
RX,6802478,R30,TXA,N01,3,4627,D,1,0.24,0.22,5.0,F,-48.0,10.5,True,,2026-06-29T14:59:01.934+00:00,/dev/cu.usbserial-576B0005451,"RX,6802478,R30,TXA,N01,3,4627,D,1,0.24,0.22,5,F,-48,10.50"
RX,6803478,R30,TXA,N01,4,5627,E,0,0.87,0.84,5.0,F,-50.0,10.25,True,,2026-06-29T14:59:02.935+00:00,/dev/cu.usbserial-576B0005451,"RX,6803478,R30,TXA,N01,4,5627,E,0,0.87,0.84,5,F,-50,10.25"
RX,6803994,R30,TXB,N16,2,6142,E,0,0.87,0.84,5.0,U,-55.0,9.75,True,,2026-06-29T14:59:03.450+00:00,/dev/cu.usbserial-576B0005451,"RX,6803994,R30,TXB,N16,2,6142,E,0,0.87,0.84,5,U,-55,9.75"
RX,6804232,R30,TXC,N31,0,6381,E,0,0.87,0.84,5.0,U,-44.0,10.0,True,,2026-06-29T14:59:03.688+00:00,/dev/cu.usbserial-576B0005451,"RX,6804232,R30,TXC,N31,0,6381,E,0,0.87,0.84,5,U,-44,10.00"
RX,6804478,R30,TXA,N01,5,6627,F,1,0.28,0.26,5.0,F,-46.0,10.0,True,,2026-06-29T14:59:03.934+00:00,/dev/cu.usbserial-576B0005451,"RX,6804478,R30,TXA,N01,5,6627,F,1,0.28,0.26,5,F,-46,10.00"
RX,6805478,R30,TXA,N01,6,7627,G,1,0.93,0.9,5.0,F,-47.0,10.25,True,,2026-06-29T14:59:04.934+00:00,/dev/cu.usbserial-576B0005451,"RX,6805478,R30,TXA,N01,6,7627,G,1,0.93,0.90,5,F,-47,10.25"
RX,6805994,R30,TXB,N16,3,8142,G,1,0.93,0.9,5.0,U,-53.0,9.75,True,,2026-06-29T14:59:05.450+00:00,/dev/cu.usbserial-576B0005451,"RX,6805994,R30,TXB,N16,3,8142,G,1,0.93,0.90,5,U,-53,9.75"
RX,6806232,R30,TXC,N31,1,8381,G,1,0.93,0.9,5.0,U,-45.0,9.75,True,,2026-06-29T14:59:05.688+00:00,/dev/cu.usbserial-576B0005451,"RX,6806232,R30,TXC,N31,1,8381,G,1,0.93,0.90,5,U,-45,9.75"
RX,6806478,R30,TXA,N01,7,8627,H,0,0.32,0.3,5.0,F,-46.0,10.0,True,,2026-06-29T14:59:05.934+00:00,/dev/cu.usbserial-576B0005451,"RX,6806478,R30,TXA,N01,7,8627,H,0,0.32,0.30,5,F,-46,10.00"
RX,6807478,R30,TXA,N01,8,9627,A,1,0.75,0.72,5.0,F,-46.0,9.75,True,,2026-06-29T14:59:06.934+00:00,/dev/cu.usbserial-576B0005451,"RX,6807478,R30,TXA,N01,8,9627,A,1,0.75,0.72,5,F,-46,9.75"
RX,6807999,R30,TXB,N16,4,10142,A,1,0.75,0.72,5.0,U,-57.0,10.0,True,,2026-06-29T14:59:07.455+00:00,/dev/cu.usbserial-576B0005451,"RX,6807999,R30,TXB,N16,4,10142,A,1,0.75,0.72,5,U,-57,10.00"
RX,6808483,R30,TXA,N01,9,10627,B,1,0.2,0.18,5.0,F,-49.0,10.0,True,,2026-06-29T14:59:07.939+00:00,/dev/cu.usbserial-576B0005451,"RX,6808483,R30,TXA,N01,9,10627,B,1,0.20,0.18,5,F,-49,10.00"
RX,6809483,R30,TXA,N01,10,11627,C,0,0.81,0.78,5.0,F,-50.0,9.5,True,,2026-06-29T14:59:08.939+00:00,/dev/cu.usbserial-576B0005451,"RX,6809483,R30,TXA,N01,10,11627,C,0,0.81,0.78,5,F,-50,9.50"
RX,6809999,R30,TXB,N16,5,12142,C,0,0.81,0.78,5.0,U,-57.0,9.75,True,,2026-06-29T14:59:09.455+00:00,/dev/cu.usbserial-576B0005451,"RX,6809999,R30,TXB,N16,5,12142,C,0,0.81,0.78,5,U,-57,9.75"
RX,6810483,R30,TXA,N01,11,12627,D,1,0.24,0.22,5.0,F,-47.0,10.25,True,,2026-06-29T14:59:09.939+00:00,/dev/cu.usbserial-576B0005451,"RX,6810483,R30,TXA,N01,11,12627,D,1,0.24,0.22,5,F,-47,10.25"
RX,6811483,R30,TXA,N01,12,13627,E,1,0.87,0.84,5.0,F,-47.0,9.75,True,,2026-06-29T14:59:10.939+00:00,/dev/cu.usbserial-576B0005451,"RX,6811483,R30,TXA,N01,12,13627,E,1,0.87,0.84,5,F,-47,9.75"
RX,6811999,R30,TXB,N16,6,14142,E,1,0.87,0.84,5.0,U,-52.0,9.75,True,,2026-06-29T14:59:11.455+00:00,/dev/cu.usbserial-576B0005451,"RX,6811999,R30,TXB,N16,6,14142,E,1,0.87,0.84,5,U,-52,9.75"
RX,6812237,R30,TXC,N31,2,14381,E,1,0.87,0.84,5.0,U,-44.0,9.5,True,,2026-06-29T14:59:11.693+00:00,/dev/cu.usbserial-576B0005451,"RX,6812237,R30,TXC,N31,2,14381,E,1,0.87,0.84,5,U,-44,9.50"
RX,6812483,R30,TXA,N01,13,14627,F,0,0.28,0.26,5.0,F,-47.0,10.25,True,,2026-06-29T14:59:11.939+00:00,/dev/cu.usbserial-576B0005451,"RX,6812483,R30,TXA,N01,13,14627,F,0,0.28,0.26,5,F,-47,10.25"
RX,6813483,R30,TXA,N01,14,15627,G,1,0.93,0.9,5.0,F,-47.0,9.75,True,,2026-06-29T14:59:12.939+00:00,/dev/cu.usbserial-576B0005451,"RX,6813483,R30,TXA,N01,14,15627,G,1,0.93,0.90,5,F,-47,9.75"
RX,6813999,R30,TXB,N16,7,16142,G,1,0.93,0.9,5.0,U,-52.0,9.75,True,,2026-06-29T14:59:13.455+00:00,/dev/cu.usbserial-576B0005451,"RX,6813999,R30,TXB,N16,7,16142,G,1,0.93,0.90,5,U,-52,9.75"
RX,6814237,R30,TXC,N31,3,16381,G,1,0.93,0.9,5.0,U,-44.0,9.75,True,,2026-06-29T14:59:13.693+00:00,/dev/cu.usbserial-576B0005451,"RX,6814237,R30,TXC,N31,3,16381,G,1,0.93,0.90,5,U,-44,9.75"
RX,6814483,R30,TXA,N01,15,16627,H,1,0.32,0.3,5.0,F,-47.0,10.0,True,,2026-06-29T14:59:13.939+00:00,/dev/cu.usbserial-576B0005451,"RX,6814483,R30,TXA,N01,15,16627,H,1,0.32,0.30,5,F,-47,10.00"
RX,6815483,R30,TXA,N01,16,17627,A,0,0.75,0.72,5.0,F,-47.0,9.5,True,,2026-06-29T14:59:14.939+00:00,/dev/cu.usbserial-576B0005451,"RX,6815483,R30,TXA,N01,16,17627,A,0,0.75,0.72,5,F,-47,9.50"
RX,6815999,R30,TXB,N16,8,18142,A,0,0.75,0.72,5.0,U,-54.0,9.25,True,,2026-06-29T14:59:15.455+00:00,/dev/cu.usbserial-576B0005451,"RX,6815999,R30,TXB,N16,8,18142,A,0,0.75,0.72,5,U,-54,9.25"
RX,6816483,R30,TXA,N01,17,18627,B,1,0.2,0.18,5.0,F,-47.0,9.75,True,,2026-06-29T14:59:15.939+00:00,/dev/cu.usbserial-576B0005451,"RX,6816483,R30,TXA,N01,17,18627,B,1,0.20,0.18,5,F,-47,9.75"
RX,6817483,R30,TXA,N01,18,19627,C,1,0.81,0.78,5.0,F,-47.0,10.0,True,,2026-06-29T14:59:16.939+00:00,/dev/cu.usbserial-576B0005451,"RX,6817483,R30,TXA,N01,18,19627,C,1,0.81,0.78,5,F,-47,10.00"
RX,6817999,R30,TXB,N16,9,20142,C,1,0.81,0.78,5.0,U,-54.0,9.75,True,,2026-06-29T14:59:17.455+00:00,/dev/cu.usbserial-576B0005451,"RX,6817999,R30,TXB,N16,9,20142,C,1,0.81,0.78,5,U,-54,9.75"
RX,6818483,R30,TXA,N01,19,20627,D,0,0.24,0.22,5.0,F,-48.0,9.75,True,,2026-06-29T14:59:17.939+00:00,/dev/cu.usbserial-576B0005451,"RX,6818483,R30,TXA,N01,19,20627,D,0,0.24,0.22,5,F,-48,9.75"
RX,6819483,R30,TXA,N01,20,21627,E,1,0.87,0.84,5.0,F,-47.0,10.25,True,,2026-06-29T14:59:18.939+00:00,/dev/cu.usbserial-576B0005451,"RX,6819483,R30,TXA,N01,20,21627,E,1,0.87,0.84,5,F,-47,10.25"
RX,6820237,R30,TXC,N31,4,22381,E,1,0.87,0.84,5.0,U,-45.0,9.5,True,,2026-06-29T14:59:19.693+00:00,/dev/cu.usbserial-576B0005451,"RX,6820237,R30,TXC,N31,4,22381,E,1,0.87,0.84,5,U,-45,9.50"
RX,6820483,R30,TXA,N01,21,22627,F,1,0.28,0.26,5.0,F,-47.0,10.0,True,,2026-06-29T14:59:19.939+00:00,/dev/cu.usbserial-576B0005451,"RX,6820483,R30,TXA,N01,21,22627,F,1,0.28,0.26,5,F,-47,10.00"
RX,6821483,R30,TXA,N01,22,23627,G,0,0.93,0.9,5.0,F,-45.0,9.5,True,,2026-06-29T14:59:20.939+00:00,/dev/cu.usbserial-576B0005451,"RX,6821483,R30,TXA,N01,22,23627,G,0,0.93,0.90,5,F,-45,9.50"
RX,6821999,R30,TXB,N16,11,24142,G,0,0.93,0.9,5.0,U,-47.0,10.0,True,,2026-06-29T14:59:21.455+00:00,/dev/cu.usbserial-576B0005451,"RX,6821999,R30,TXB,N16,11,24142,G,0,0.93,0.90,5,U,-47,10.00"
RX,6822237,R30,TXC,N31,5,24381,G,0,0.93,0.9,5.0,U,-44.0,9.75,True,,2026-06-29T14:59:21.693+00:00,/dev/cu.usbserial-576B0005451,"RX,6822237,R30,TXC,N31,5,24381,G,0,0.93,0.90,5,U,-44,9.75"
RX,6822483,R30,TXA,N01,23,24627,H,1,0.32,0.3,5.0,F,-44.0,9.75,True,,2026-06-29T14:59:21.939+00:00,/dev/cu.usbserial-576B0005451,"RX,6822483,R30,TXA,N01,23,24627,H,1,0.32,0.30,5,F,-44,9.75"
RX,6823483,R30,TXA,N01,24,25627,A,1,0.75,0.72,5.0,F,-44.0,9.75,True,,2026-06-29T14:59:22.939+00:00,/dev/cu.usbserial-576B0005451,"RX,6823483,R30,TXA,N01,24,25627,A,1,0.75,0.72,5,F,-44,9.75"
RX,6824483,R30,TXA,N01,25,26627,B,0,0.2,0.18,5.0,F,-43.0,10.0,True,,2026-06-29T14:59:23.939+00:00,/dev/cu.usbserial-576B0005451,"RX,6824483,R30,TXA,N01,25,26627,B,0,0.20,0.18,5,F,-43,10.00"
RX,6825483,R30,TXA,N01,26,27627,C,1,0.81,0.78,5.0,F,-47.0,10.0,True,,2026-06-29T14:59:24.939+00:00,/dev/cu.usbserial-576B0005451,"RX,6825483,R30,TXA,N01,26,27627,C,1,0.81,0.78,5,F,-47,10.00"
RX,6825999,R30,TXB,N16,13,28142,C,1,0.81,0.78,5.0,U,-48.0,9.75,True,,2026-06-29T14:59:25.455+00:00,/dev/cu.usbserial-576B0005451,"RX,6825999,R30,TXB,N16,13,28142,C,1,0.81,0.78,5,U,-48,9.75"
RX,6826483,R30,TXA,N01,27,28627,D,1,0.24,0.22,5.0,F,-45.0,10.25,True,,2026-06-29T14:59:25.940+00:00,/dev/cu.usbserial-576B0005451,"RX,6826483,R30,TXA,N01,27,28627,D,1,0.24,0.22,5,F,-45,10.25"
RX,6827483,R30,TXA,N01,28,29627,E,0,0.87,0.84,5.0,F,-43.0,10.0,True,,2026-06-29T14:59:26.940+00:00,/dev/cu.usbserial-576B0005451,"RX,6827483,R30,TXA,N01,28,29627,E,0,0.87,0.84,5,F,-43,10.00"
RX,6827999,R30,TXB,N16,14,30142,E,0,0.87,0.84,5.0,U,-48.0,10.25,True,,2026-06-29T14:59:27.455+00:00,/dev/cu.usbserial-576B0005451,"RX,6827999,R30,TXB,N16,14,30142,E,0,0.87,0.84,5,U,-48,10.25"
RX,6828237,R30,TXC,N31,6,30381,E,0,0.87,0.84,5.0,U,-43.0,9.25,True,,2026-06-29T14:59:27.693+00:00,/dev/cu.usbserial-576B0005451,"RX,6828237,R30,TXC,N31,6,30381,E,0,0.87,0.84,5,U,-43,9.25"
RX,6828483,R30,TXA,N01,29,30627,F,1,0.28,0.26,5.0,F,-45.0,10.0,True,,2026-06-29T14:59:27.939+00:00,/dev/cu.usbserial-576B0005451,"RX,6828483,R30,TXA,N01,29,30627,F,1,0.28,0.26,5,F,-45,10.00"
RX,6829483,R30,TXA,N01,30,31627,G,1,0.93,0.9,5.0,F,-44.0,9.75,True,,2026-06-29T14:59:28.939+00:00,/dev/cu.usbserial-576B0005451,"RX,6829483,R30,TXA,N01,30,31627,G,1,0.93,0.90,5,F,-44,9.75"
RX,6829999,R30,TXB,N16,15,32142,G,1,0.93,0.9,5.0,U,-49.0,9.75,True,,2026-06-29T14:59:29.455+00:00,/dev/cu.usbserial-576B0005451,"RX,6829999,R30,TXB,N16,15,32142,G,1,0.93,0.90,5,U,-49,9.75"
RX,6830237,R30,TXC,N31,7,32381,G,1,0.93,0.9,5.0,U,-46.0,9.5,True,,2026-06-29T14:59:29.693+00:00,/dev/cu.usbserial-576B0005451,"RX,6830237,R30,TXC,N31,7,32381,G,1,0.93,0.90,5,U,-46,9.50"
RX,6830483,R30,TXA,N01,31,32627,H,0,0.32,0.3,5.0,F,-44.0,10.25,True,,2026-06-29T14:59:29.939+00:00,/dev/cu.usbserial-576B0005451,"RX,6830483,R30,TXA,N01,31,32627,H,0,0.32,0.30,5,F,-44,10.25"
RX,6831483,R30,TXA,N01,32,33627,A,1,0.75,0.72,5.0,F,-44.0,10.0,True,,2026-06-29T14:59:30.939+00:00,/dev/cu.usbserial-576B0005451,"RX,6831483,R30,TXA,N01,32,33627,A,1,0.75,0.72,5,F,-44,10.00"
RX,6831999,R30,TXB,N16,16,34142,A,1,0.75,0.72,5.0,U,-48.0,10.0,True,,2026-06-29T14:59:31.455+00:00,/dev/cu.usbserial-576B0005451,"RX,6831999,R30,TXB,N16,16,34142,A,1,0.75,0.72,5,U,-48,10.00"
RX,6832483,R30,TXA,N01,33,34627,B,1,0.2,0.18,5.0,F,-45.0,9.75,True,,2026-06-29T14:59:31.939+00:00,/dev/cu.usbserial-576B0005451,"RX,6832483,R30,TXA,N01,33,34627,B,1,0.20,0.18,5,F,-45,9.75"
RX,6833483,R30,TXA,N01,34,35627,C,0,0.81,0.78,5.0,F,-47.0,10.0,True,,2026-06-29T14:59:32.940+00:00,/dev/cu.usbserial-576B0005451,"RX,6833483,R30,TXA,N01,34,35627,C,0,0.81,0.78,5,F,-47,10.00"
RX,6833999,R30,TXB,N16,17,36142,C,0,0.81,0.78,5.0,U,-49.0,10.0,True,,2026-06-29T14:59:33.455+00:00,/dev/cu.usbserial-576B0005451,"RX,6833999,R30,TXB,N16,17,36142,C,0,0.81,0.78,5,U,-49,10.00"
RX,6834483,R30,TXA,N01,35,36627,D,1,0.24,0.22,5.0,F,-44.0,9.75,True,,2026-06-29T14:59:33.939+00:00,/dev/cu.usbserial-576B0005451,"RX,6834483,R30,TXA,N01,35,36627,D,1,0.24,0.22,5,F,-44,9.75"
RX,6835483,R30,TXA,N01,36,37627,E,1,0.87,0.84,5.0,F,-44.0,9.5,True,,2026-06-29T14:59:34.939+00:00,/dev/cu.usbserial-576B0005451,"RX,6835483,R30,TXA,N01,36,37627,E,1,0.87,0.84,5,F,-44,9.50"
RX,6835999,R30,TXB,N16,18,38142,E,1,0.87,0.84,5.0,U,-48.0,9.5,True,,2026-06-29T14:59:35.455+00:00,/dev/cu.usbserial-576B0005451,"RX,6835999,R30,TXB,N16,18,38142,E,1,0.87,0.84,5,U,-48,9.50"
RX,6836237,R30,TXC,N31,8,38381,E,1,0.87,0.84,5.0,U,-45.0,9.75,True,,2026-06-29T14:59:35.693+00:00,/dev/cu.usbserial-576B0005451,"RX,6836237,R30,TXC,N31,8,38381,E,1,0.87,0.84,5,U,-45,9.75"
RX,6836483,R30,TXA,N01,37,38627,F,0,0.28,0.26,5.0,F,-44.0,9.75,True,,2026-06-29T14:59:35.939+00:00,/dev/cu.usbserial-576B0005451,"RX,6836483,R30,TXA,N01,37,38627,F,0,0.28,0.26,5,F,-44,9.75"
RX,6837483,R30,TXA,N01,38,39627,G,1,0.93,0.9,5.0,F,-45.0,9.75,True,,2026-06-29T14:59:36.939+00:00,/dev/cu.usbserial-576B0005451,"RX,6837483,R30,TXA,N01,38,39627,G,1,0.93,0.90,5,F,-45,9.75"
RX,6837999,R30,TXB,N16,19,40142,G,1,0.93,0.9,5.0,U,-48.0,9.0,True,,2026-06-29T14:59:37.455+00:00,/dev/cu.usbserial-576B0005451,"RX,6837999,R30,TXB,N16,19,40142,G,1,0.93,0.90,5,U,-48,9.00"
RX,6838237,R30,TXC,N31,9,40381,G,1,0.93,0.9,5.0,U,-46.0,9.25,True,,2026-06-29T14:59:37.692+00:00,/dev/cu.usbserial-576B0005451,"RX,6838237,R30,TXC,N31,9,40381,G,1,0.93,0.90,5,U,-46,9.25"
RX,6838483,R30,TXA,N01,39,40627,H,1,0.32,0.3,5.0,F,-44.0,10.25,True,,2026-06-29T14:59:37.940+00:00,/dev/cu.usbserial-576B0005451,"RX,6838483,R30,TXA,N01,39,40627,H,1,0.32,0.30,5,F,-44,10.25"
RX,6839483,R30,TXA,N01,40,41627,A,0,0.75,0.72,5.0,F,-45.0,10.25,True,,2026-06-29T14:59:38.940+00:00,/dev/cu.usbserial-576B0005451,"RX,6839483,R30,TXA,N01,40,41627,A,0,0.75,0.72,5,F,-45,10.25"
RX,6839999,R30,TXB,N16,20,42142,A,0,0.75,0.72,5.0,U,-49.0,10.0,True,,2026-06-29T14:59:39.455+00:00,/dev/cu.usbserial-576B0005451,"RX,6839999,R30,TXB,N16,20,42142,A,0,0.75,0.72,5,U,-49,10.00"
RX,6840483,R30,TXA,N01,41,42627,B,1,0.2,0.18,5.0,F,-47.0,9.75,True,,2026-06-29T14:59:39.940+00:00,/dev/cu.usbserial-576B0005451,"RX,6840483,R30,TXA,N01,41,42627,B,1,0.20,0.18,5,F,-47,9.75"
RX,6841483,R30,TXA,N01,42,43627,C,1,0.81,0.78,5.0,F,-46.0,9.75,True,,2026-06-29T14:59:40.939+00:00,/dev/cu.usbserial-576B0005451,"RX,6841483,R30,TXA,N01,42,43627,C,1,0.81,0.78,5,F,-46,9.75"
RX,6841999,R30,TXB,N16,21,44142,C,1,0.81,0.78,5.0,U,-50.0,9.5,True,,2026-06-29T14:59:41.455+00:00,/dev/cu.usbserial-576B0005451,"RX,6841999,R30,TXB,N16,21,44142,C,1,0.81,0.78,5,U,-50,9.50"
RX,6842483,R30,TXA,N01,43,44627,D,0,0.24,0.22,5.0,F,-46.0,10.0,True,,2026-06-29T14:59:41.940+00:00,/dev/cu.usbserial-576B0005451,"RX,6842483,R30,TXA,N01,43,44627,D,0,0.24,0.22,5,F,-46,10.00"
RX,6843483,R30,TXA,N01,44,45627,E,1,0.87,0.84,5.0,F,-45.0,10.0,True,,2026-06-29T14:59:42.940+00:00,/dev/cu.usbserial-576B0005451,"RX,6843483,R30,TXA,N01,44,45627,E,1,0.87,0.84,5,F,-45,10.00"
RX,6843999,R30,TXB,N16,22,46142,E,1,0.87,0.84,5.0,U,-50.0,9.75,True,,2026-06-29T14:59:43.455+00:00,/dev/cu.usbserial-576B0005451,"RX,6843999,R30,TXB,N16,22,46142,E,1,0.87,0.84,5,U,-50,9.75"
RX,6844237,R30,TXC,N31,10,46381,E,1,0.87,0.84,5.0,U,-44.0,9.75,True,,2026-06-29T14:59:43.693+00:00,/dev/cu.usbserial-576B0005451,"RX,6844237,R30,TXC,N31,10,46381,E,1,0.87,0.84,5,U,-44,9.75"
RX,6844483,R30,TXA,N01,45,46627,F,1,0.28,0.26,5.0,F,-44.0,9.75,True,,2026-06-29T14:59:43.939+00:00,/dev/cu.usbserial-576B0005451,"RX,6844483,R30,TXA,N01,45,46627,F,1,0.28,0.26,5,F,-44,9.75"
RX,6845483,R30,TXA,N01,46,47627,G,0,0.93,0.9,5.0,F,-44.0,10.25,True,,2026-06-29T14:59:44.940+00:00,/dev/cu.usbserial-576B0005451,"RX,6845483,R30,TXA,N01,46,47627,G,0,0.93,0.90,5,F,-44,10.25"
RX,6845999,R30,TXB,N16,23,48142,G,0,0.93,0.9,5.0,U,-48.0,10.0,True,,2026-06-29T14:59:45.455+00:00,/dev/cu.usbserial-576B0005451,"RX,6845999,R30,TXB,N16,23,48142,G,0,0.93,0.90,5,U,-48,10.00"
RX,6846237,R30,TXC,N31,11,48381,G,0,0.93,0.9,5.0,U,-45.0,10.0,True,,2026-06-29T14:59:45.693+00:00,/dev/cu.usbserial-576B0005451,"RX,6846237,R30,TXC,N31,11,48381,G,0,0.93,0.90,5,U,-45,10.00"
RX,6846484,R30,TXA,N01,47,48627,H,1,0.32,0.3,5.0,F,-45.0,9.75,True,,2026-06-29T14:59:45.940+00:00,/dev/cu.usbserial-576B0005451,"RX,6846484,R30,TXA,N01,47,48627,H,1,0.32,0.30,5,F,-45,9.75"
RX,6847483,R30,TXA,N01,48,49627,A,1,0.75,0.72,5.0,F,-44.0,9.75,True,,2026-06-29T14:59:46.940+00:00,/dev/cu.usbserial-576B0005451,"RX,6847483,R30,TXA,N01,48,49627,A,1,0.75,0.72,5,F,-44,9.75"
RX,6847999,R30,TXB,N16,24,50142,A,1,0.75,0.72,5.0,U,-49.0,9.5,True,,2026-06-29T14:59:47.455+00:00,/dev/cu.usbserial-576B0005451,"RX,6847999,R30,TXB,N16,24,50142,A,1,0.75,0.72,5,U,-49,9.50"
RX,6848483,R30,TXA,N01,49,50627,B,0,0.2,0.18,5.0,F,-46.0,10.5,True,,2026-06-29T14:59:47.940+00:00,/dev/cu.usbserial-576B0005451,"RX,6848483,R30,TXA,N01,49,50627,B,0,0.20,0.18,5,F,-46,10.50"
RX,6849483,R30,TXA,N01,50,51627,C,1,0.81,0.78,5.0,F,-45.0,9.75,True,,2026-06-29T14:59:48.939+00:00,/dev/cu.usbserial-576B0005451,"RX,6849483,R30,TXA,N01,50,51627,C,1,0.81,0.78,5,F,-45,9.75"
RX,6849999,R30,TXB,N16,25,52142,C,1,0.81,0.78,5.0,U,-50.0,10.0,True,,2026-06-29T14:59:49.455+00:00,/dev/cu.usbserial-576B0005451,"RX,6849999,R30,TXB,N16,25,52142,C,1,0.81,0.78,5,U,-50,10.00"
RX,6850483,R30,TXA,N01,51,52627,D,1,0.24,0.22,5.0,F,-46.0,9.75,True,,2026-06-29T14:59:49.939+00:00,/dev/cu.usbserial-576B0005451,"RX,6850483,R30,TXA,N01,51,52627,D,1,0.24,0.22,5,F,-46,9.75"
RX,6851483,R30,TXA,N01,52,53627,E,0,0.87,0.84,5.0,F,-44.0,10.0,True,,2026-06-29T14:59:50.940+00:00,/dev/cu.usbserial-576B0005451,"RX,6851483,R30,TXA,N01,52,53627,E,0,0.87,0.84,5,F,-44,10.00"
RX,6851999,R30,TXB,N16,26,54142,E,0,0.87,0.84,5.0,U,-49.0,10.75,True,,2026-06-29T14:59:51.455+00:00,/dev/cu.usbserial-576B0005451,"RX,6851999,R30,TXB,N16,26,54142,E,0,0.87,0.84,5,U,-49,10.75"
RX,6852237,R30,TXC,N31,12,54381,E,0,0.87,0.84,5.0,U,-44.0,9.5,True,,2026-06-29T14:59:51.693+00:00,/dev/cu.usbserial-576B0005451,"RX,6852237,R30,TXC,N31,12,54381,E,0,0.87,0.84,5,U,-44,9.50"
RX,6852483,R30,TXA,N01,53,54627,F,1,0.28,0.26,5.0,F,-45.0,9.75,True,,2026-06-29T14:59:51.939+00:00,/dev/cu.usbserial-576B0005451,"RX,6852483,R30,TXA,N01,53,54627,F,1,0.28,0.26,5,F,-45,9.75"
RX,6853483,R30,TXA,N01,54,55627,G,1,0.93,0.9,5.0,F,-44.0,9.5,True,,2026-06-29T14:59:52.939+00:00,/dev/cu.usbserial-576B0005451,"RX,6853483,R30,TXA,N01,54,55627,G,1,0.93,0.90,5,F,-44,9.50"
RX,6853999,R30,TXB,N16,27,56142,G,1,0.93,0.9,5.0,U,-48.0,9.5,True,,2026-06-29T14:59:53.455+00:00,/dev/cu.usbserial-576B0005451,"RX,6853999,R30,TXB,N16,27,56142,G,1,0.93,0.90,5,U,-48,9.50"
RX,6854237,R30,TXC,N31,13,56381,G,1,0.93,0.9,5.0,U,-44.0,9.75,True,,2026-06-29T14:59:53.693+00:00,/dev/cu.usbserial-576B0005451,"RX,6854237,R30,TXC,N31,13,56381,G,1,0.93,0.90,5,U,-44,9.75"
RX,6854484,R30,TXA,N01,55,56627,H,0,0.32,0.3,5.0,F,-44.0,10.0,True,,2026-06-29T14:59:53.940+00:00,/dev/cu.usbserial-576B0005451,"RX,6854484,R30,TXA,N01,55,56627,H,0,0.32,0.30,5,F,-44,10.00"
RX,6855483,R30,TXA,N01,56,57627,A,1,0.75,0.72,5.0,F,-45.0,10.25,True,,2026-06-29T14:59:54.940+00:00,/dev/cu.usbserial-576B0005451,"RX,6855483,R30,TXA,N01,56,57627,A,1,0.75,0.72,5,F,-45,10.25"
RX,6855999,R30,TXB,N16,28,58142,A,1,0.75,0.72,5.0,U,-49.0,9.75,True,,2026-06-29T14:59:55.455+00:00,/dev/cu.usbserial-576B0005451,"RX,6855999,R30,TXB,N16,28,58142,A,1,0.75,0.72,5,U,-49,9.75"
RX,6856483,R30,TXA,N01,57,58627,B,1,0.2,0.18,5.0,F,-43.0,10.5,True,,2026-06-29T14:59:55.940+00:00,/dev/cu.usbserial-576B0005451,"RX,6856483,R30,TXA,N01,57,58627,B,1,0.20,0.18,5,F,-43,10.50"
RX,6857483,R30,TXA,N01,58,59627,C,0,0.81,0.78,5.0,F,-43.0,10.0,True,,2026-06-29T14:59:56.940+00:00,/dev/cu.usbserial-576B0005451,"RX,6857483,R30,TXA,N01,58,59627,C,0,0.81,0.78,5,F,-43,10.00"
RX,6857999,R30,TXB,N16,29,60142,C,0,0.81,0.78,5.0,U,-49.0,9.5,True,,2026-06-29T14:59:57.455+00:00,/dev/cu.usbserial-576B0005451,"RX,6857999,R30,TXB,N16,29,60142,C,0,0.81,0.78,5,U,-49,9.50"
RX,6858483,R30,TXA,N01,59,60627,D,1,0.24,0.22,5.0,F,-44.0,10.25,True,,2026-06-29T14:59:57.939+00:00,/dev/cu.usbserial-576B0005451,"RX,6858483,R30,TXA,N01,59,60627,D,1,0.24,0.22,5,F,-44,10.25"
